treatment,median
Voluntary,115.77
Arbitrator,78.55
Voluntary,0.42
Arbitrator,0.55
Voluntary,105.64
Arbitrator,69.24
Voluntary,0.45
Arbitrator,0.48
Voluntary,0.13
Arbitrator,-0.15
Voluntary,0.13
Arbitrator,-0.18
Voluntary,0.13
Arbitrator,-0.1
Voluntary,0
Arbitrator,0.83
Voluntary,0
Arbitrator,0.79
Voluntary,0
Arbitrator,0.83
Voluntary,38.93
Arbitrator,40.78
Voluntary,32.68
Arbitrator,33.29
Voluntary,47.59
Arbitrator,49.91
Voluntary,33.85
Arbitrator,31.55
Voluntary,17.32
Arbitrator,15.96
Voluntary,52.41
Arbitrator,49.56
Voluntary,4.79
Arbitrator,6.42
Voluntary,2.68
Arbitrator,3.29
Voluntary,7.59
Arbitrator,9.91
Voluntary,0.63
Arbitrator,0.64
